audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
8,16,64,0.1,0.2,0.2,0.003,0.003,16,16,0.0,2.7718687,0.9253031,0.67849,0.34694,0.7696793002915452,0.7685291444717691
8,16,64,0.1,0.2,0.2,0.003,0.003,16,16,0.0,2.8591576,0.9544418,0.64312,0.3309,0.7711370262390671,0.7703886182219917
8,16,64,0.1,0.2,0.2,0.003,0.003,16,16,0.0,2.8804643,0.9615545,0.65343,0.31633,0.749271137026239,0.749346512466046
8,16,64,0.1,0.2,0.2,0.003,0.003,16,16,0.0,2.8964403,0.9668875,0.65077,0.30612,0.7638483965014577,0.764403339854634
4,4,256,0.2,0.0,0.0,0.001,0.003,8,4,0.0,3.0802803,1.0282568,0.61708,0.31341,0.739067055393586,0.7397216342139046
4,4,256,0.2,0.0,0.0,0.001,0.003,8,4,0.0,2.884917,0.9630408,0.6692,0.32799,0.7594752186588921,0.7597098789947839
4,4,256,0.2,0.0,0.0,0.001,0.003,8,4,0.0,2.76959,0.92454237,0.68338,0.35277,0.7798833819241983,0.7801508463496366
4,4,256,0.2,0.0,0.0,0.001,0.003,8,4,0.0,3.0006094,1.0016611,0.63009,0.30758,0.7565597667638484,0.7566679426808145
4,8,64,0.3,0.3,0.1,0.001,0.003,8,16,0.0,2.7297544,0.9112446,0.68831,0.33965,0.7755102040816326,0.7719674908615002
4,8,64,0.3,0.3,0.1,0.001,0.003,8,16,0.0,2.7022507,0.9020633,0.6966,0.33673,0.7857142857142857,0.7849128840725479
4,8,64,0.3,0.3,0.1,0.001,0.003,8,16,0.0,2.7453778,0.91646,0.69196,0.35423,0.7755102040816326,0.7740174819667106
4,8,64,0.3,0.3,0.1,0.001,0.003,8,16,0.0,2.801178,0.93508697,0.66531,0.34257,0.7711370262390671,0.7681610120020731
8,4,64,0.1,0.3,0.3,0.003,0.001,1,8,0.001,2.7210279,0.90833133,0.70034,0.32362,0.793002915451895,0.7918587989131511
8,4,64,0.1,0.3,0.3,0.003,0.001,1,8,0.001,2.7993748,0.9344851,0.69118,0.33819,0.7813411078717201,0.7816315587173931
8,4,64,0.1,0.3,0.3,0.003,0.001,1,8,0.001,2.7590308,0.92101765,0.68922,0.35277,0.7769679300291545,0.7770670373063748
8,4,64,0.1,0.3,0.3,0.003,0.001,1,8,0.001,2.8979316,0.96738535,0.63887,0.31195,0.7769679300291545,0.7747109474130681
