audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
4,8,256,0,0.3,0.3,0.0005,0.003,1,8,0.01,1.0812011,1.081201,0.54396,0.27405,0.7536443148688047,0.7519342367521972
4,8,64,0,0.2,0.1,0.0005,0.003,16,8,0.001,0.95553476,0.95553464,0.66206,0.31487,0.7755102040816326,0.7743891661307117
4,16,64,0.15,0.1,0,0.0005,0.003,16,8,0.002,0.94251794,0.9425179,0.66401,0.32507,0.7769679300291545,0.7764360658483623
4,16,128,0.15,0.1,0.5,0.003,0.0003,8,4,0.001,0.9737615,0.97376144,0.65234,0.30612,0.7696793002915452,0.7687622677392365
16,4,256,0.2,0.1,0.3,0.001,0.001,1,4,0.001,0.94151974,0.9415197,0.67298,0.29883,0.7740524781341108,0.7712837936778444
16,8,256,0.2,0.5,0.5,0.003,0.001,4,128,0.002,1.0127956,1.0127954,0.63281,0.27988,0.7682215743440233,0.7674636324668579
4,4,256,0,0.15,0.3,0.0005,0.0005,4,16,0,0.97690916,0.97690916,0.64214,0.33382,0.760932944606414,0.7600955565430845
8,4,256,0.3,0.3,0.2,0.0005,0.0005,1,128,0.002,1.0463514,1.0463514,0.58514,0.28571,0.7317784256559767,0.7313042825928857
16,4,128,0.3,0,0.5,0.0005,0.001,4,8,0.01,1.0124292,1.0124292,0.62101,0.27551,0.7769679300291545,0.7745565537372474
16,16,128,0.2,0,0.15,0.0005,0.003,1,4,0.001,0.9881761,0.9881759,0.64658,0.31633,0.7594752186588921,0.7597674811105299
4,4,64,0.1,0.3,0.2,0.001,0.0003,16,32,0.001,1.0727146,1.0727144,0.57836,0.29738,0.7332361516034985,0.7335602972316787
8,8,128,0,0,0.1,0.0005,0.001,16,4,0.001,0.9513351,0.9513351,0.65416,0.31778,0.7565597667638484,0.75409626286263
